Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,Karyawan Keluar,Travel_Rarely,1141,Research & Development,11,College,Medical,Low,Female,61,Low,Advanced,Healthcare Representative,Medium,Married,4777,14382,5,No,15,High,Low,Very High,15,2,Low,1,0,0,0
51,Karyawan Keluar,Travel_Rarely,1323,Research & Development,4,Master,Life Sciences,Low,Male,34,High,Basic,Research Scientist,High,Married,2461,10332,9,Yes,12,High,High,High,18,2,Outstanding,10,0,2,7
42,Karyawan Beratahan,Travel_Frequently,555,Sales,26,Bachelor,Marketing,High,Female,77,High,Advanced,Sales Executive,Medium,Married,13525,14864,5,No,14,High,Very High,Low,23,2,Outstanding,20,4,4,8
40,Karyawan Beratahan,Travel_Rarely,1124,Sales,1,College,Medical,Medium,Male,57,Low,Advanced,Sales Executive,Very High,Married,7457,13273,2,Yes,22,Very High,High,High,6,2,Good,4,3,0,2
55,Karyawan Keluar,Travel_Rarely,725,Research & Development,2,Bachelor,Medical,Very High,Male,78,High,Advanced,Manager,Low,Married,19859,21199,5,Yes,13,High,Very High,Low,24,2,Excellent,5,2,1,4
36,Karyawan Beratahan,Travel_Frequently,635,Research & Development,18,Below College,Medical,Medium,Female,73,High,Basic,Laboratory Technician,Very High,Single,2153,7703,1,No,13,High,Low,Very High,8,2,Excellent,8,1,1,7
32,Karyawan Beratahan,Travel_Rarely,1018,Research & Development,3,College,Life Sciences,High,Female,39,High,Intermediate ,Research Director,Very High,Single,11159,19373,3,No,15,High,Very High,Very High,10,6,Excellent,7,7,7,7
25,Karyawan Beratahan,Travel_Rarely,583,Sales,4,Below College,Marketing,High,Male,87,Medium,Advanced,Sales Executive,Low,Married,4256,18154,1,No,12,High,Low,Very High,5,1,Outstanding,5,2,0,3
20,Karyawan Keluar,Travel_Rarely,129,Research & Development,4,Bachelor,Technical Degree,Low,Male,84,High,Basic,Laboratory Technician,Low,Single,2973,13008,1,No,19,High,Medium,Very High,1,2,Excellent,1,0,0,0
42,Karyawan Beratahan,Travel_Rarely,810,Research & Development,23,Doctor,Life Sciences,Low,Female,44,High,Advanced,Research Director,Very High,Single,15992,15901,2,No,14,High,Medium,Very High,16,2,Excellent,1,0,0,0
31,Karyawan Beratahan,Travel_Rarely,616,Research & Development,12,Bachelor,Medical,Very High,Female,41,High,Advanced,Healthcare Representative,Very High,Married,5855,17369,0,Yes,11,High,High,Medium,10,2,Low,9,7,8,5
38,Karyawan Beratahan,Non-Travel,573,Research & Development,6,Bachelor,Medical,Medium,Female,79,Low,Advanced,Research Scientist,Very High,Divorced,5329,15717,7,Yes,12,High,Very High,High,17,3,Excellent,13,11,1,9
39,Karyawan Beratahan,Travel_Rarely,408,Research & Development,2,Master,Technical Degree,Very High,Female,80,Medium,Advanced,Healthcare Representative,High,Single,4553,20978,1,No,11,High,Low,Very High,20,4,Excellent,20,7,11,10
54,Karyawan Beratahan,Travel_Rarely,821,Research & Development,5,College,Medical,Low,Male,86,High,Advanced,Research Director,Low,Married,19406,8509,4,No,11,High,High,Low,24,4,Good,4,2,1,2
49,Karyawan Beratahan,Travel_Rarely,1098,Research & Development,4,College,Medical,Low,Male,85,Medium,Advanced,Manager,High,Married,18711,12124,2,No,13,High,High,Low,23,2,Outstanding,1,0,0,0
24,Karyawan Beratahan,Travel_Rarely,691,Research & Development,23,Bachelor,Medical,Medium,Male,89,Very High,Basic,Research Scientist,Very High,Married,2725,21630,1,Yes,11,High,Medium,Medium,6,3,Excellent,6,5,1,4
40,Karyawan Beratahan,Travel_Rarely,302,Research & Development,6,Bachelor,Life Sciences,Medium,Female,75,High,Advanced,Manufacturing Director,High,Single,13237,20364,7,No,15,High,High,Very High,22,3,Excellent,20,6,5,13
41,Karyawan Beratahan,Non-Travel,267,Sales,10,College,Life Sciences,Very High,Male,56,High,Advanced,Sales Executive,Very High,Single,6230,13430,7,No,14,High,Very High,Very High,16,3,Excellent,14,3,1,10
32,Karyawan Beratahan,Travel_Rarely,588,Sales,8,College,Technical Degree,High,Female,65,Medium,Advanced,Sales Executive,Medium,Married,5228,24624,1,Yes,11,High,Very High,Very High,13,2,Excellent,13,12,11,9
24,Karyawan Keluar,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,Medium,Male,61,High,Basic,Research Scientist,Very High,Married,2293,3020,2,Yes,16,High,Low,Low,6,2,Good,2,0,2,0
39,Karyawan Beratahan,Travel_Rarely,412,Research & Development,13,Master,Medical,High,Female,94,Medium,Advanced,Manager,Medium,Divorced,17123,17334,6,Yes,13,High,Very High,Medium,21,4,Excellent,19,9,15,2
59,Karyawan Beratahan,Travel_Rarely,818,Human Resources,6,College,Medical,Medium,Male,52,High,Basic,Human Resources,High,Married,2267,25657,8,No,17,High,Very High,Very High,7,2,Good,2,2,2,2
36,Karyawan Beratahan,Travel_Rarely,1425,Research & Development,14,Below College,Life Sciences,High,Male,68,High,Advanced,Healthcare Representative,Very High,Married,6586,4821,0,Yes,17,High,Low,Low,17,2,Good,16,8,4,11
30,Karyawan Beratahan,Travel_Rarely,853,Research & Development,7,Master,Life Sciences,High,Male,49,High,Advanced,Laboratory Technician,High,Divorced,3491,11309,1,No,13,High,Low,High,10,4,Good,10,7,8,9
38,Karyawan Beratahan,Travel_Rarely,433,Human Resources,1,Bachelor,Human Resources,High,Male,37,Very High,Basic,Human Resources,High,Married,2844,6004,1,No,13,High,Very High,Low,7,2,Outstanding,7,6,5,0
28,Karyawan Keluar,Travel_Frequently,1496,Sales,1,Bachelor,Technical Degree,Low,Male,92,High,Basic,Sales Representative,High,Married,2909,15747,3,No,15,High,Very High,Low,5,3,Outstanding,3,2,1,2
31,Karyawan Beratahan,Travel_Rarely,192,Research & Development,2,Master,Life Sciences,High,Male,32,High,Basic,Research Scientist,Very High,Divorced,2695,7747,0,Yes,18,High,Medium,Low,3,2,Low,2,2,2,2
36,Karyawan Beratahan,Non-Travel,845,Sales,1,Doctor,Medical,Very High,Female,45,High,Advanced,Sales Executive,Very High,Single,6653,15276,4,No,15,High,Medium,Very High,7,6,Excellent,1,0,0,0
